Campaign budget analysis data export
"February 11, 2022 - November 10, 2025"
Campaign,Day,Campaign ID,Budget,Clicks,Impr.,Currency code,Cost,CTR,Avg. CPC,Conversions
Shriram Hebbal Fractional Investment,2025-03-15,21312513597,10000.00,4,63,INR,335.72,6.35%,83.93,0.00
Greeenesto Primus - Brand Campaign - 07June 24,2025-03-15,21367850110,7000.00,18,168,INR,1534.88,10.71%,85.27,0.50
Valmark Cityville | Search | Brand | 01 Jan 25,2025-03-15,22082957992,5000.00,9,30,INR,2178.44,30.00%,242.05,0.00
Cityville - 24 Jan 25,2025-03-15,22153977522,10000.00,0,0,INR,0.00,0,0,0.00
Cityville - Competitors 24 Jan 25,2025-03-15,22164812824,10000.00,2,27,INR,163.91,7.41%,81.96,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2025-03-16,19805351172,13000.00,29,285,INR,2079.07,10.18%,71.69,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2025-03-16,20039018782,6000.00,10,73,INR,494.41,13.70%,49.44,0.00
Shriram Hebbal Generic Search Campaign,2025-03-16,20980178071,10000.00,84,936,INR,4728.05,8.97%,56.29,0.00
Inspira Tropical Garden Brand Keywords,2025-03-16,21015668604,8100.00,3,30,INR,169.90,10.00%,56.63,0.00
Shriram Hebbal - Brand Search,2025-03-16,21048683503,3000.00,22,80,INR,1355.16,27.50%,61.60,0.00
Valmark Cityville Generic Search - 20 May 24,2025-03-16,21307500650,9200.00,4,18,INR,235.91,22.22%,58.98,0.00
Shriram Hebbal Fractional Investment,2025-03-16,21312513597,10000.00,3,55,INR,218.02,5.45%,72.67,0.00
Greeenesto Primus - Brand Campaign - 07June 24,2025-03-16,21367850110,7000.00,27,146,INR,1576.42,18.49%,58.39,1.50
Valmark Cityville | Search | Brand | 01 Jan 25,2025-03-16,22082957992,5000.00,4,16,INR,815.57,25.00%,203.89,0.00
Cityville - 24 Jan 25,2025-03-16,22153977522,10000.00,0,2,INR,0.00,0.00%,0,0.00
Cityville - Competitors 24 Jan 25,2025-03-16,22164812824,10000.00,0,29,INR,0.00,0.00%,0,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2025-03-17,19805351172,13000.00,38,264,INR,2680.82,14.39%,70.55,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2025-03-17,20039018782,6000.00,15,97,INR,1778.49,15.46%,118.57,13.00
Shriram Hebbal Generic Search Campaign,2025-03-17,20980178071,10000.00,75,923,INR,4706.32,8.13%,62.75,0.00
Inspira Tropical Garden Brand Keywords,2025-03-17,21015668604,8100.00,5,29,INR,209.12,17.24%,41.82,0.00
Shriram Hebbal - Brand Search,2025-03-17,21048683503,3000.00,24,56,INR,1667.66,42.86%,69.49,0.00
Valmark Cityville Generic Search - 20 May 24,2025-03-17,21307500650,9200.00,4,27,INR,242.71,14.81%,60.68,0.00
Shriram Hebbal Fractional Investment,2025-03-17,21312513597,10000.00,11,45,INR,741.19,24.44%,67.38,0.00
Greeenesto Primus - Brand Campaign - 07June 24,2025-03-17,21367850110,7000.00,21,122,INR,1106.19,17.21%,52.68,2.00
Valmark Cityville | Search | Brand | 01 Jan 25,2025-03-17,22082957992,5000.00,3,10,INR,747.17,30.00%,249.06,0.00
Cityville - 24 Jan 25,2025-03-17,22153977522,10000.00,1,5,INR,50.69,20.00%,50.69,0.00
Cityville - Competitors 24 Jan 25,2025-03-17,22164812824,10000.00,5,21,INR,483.56,23.81%,96.71,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2025-03-18,19805351172,13000.00,15,145,INR,761.34,10.34%,50.76,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2025-03-18,20039018782,6000.00,11,69,INR,1042.00,15.94%,94.73,0.00
Shriram Hebbal Generic Search Campaign,2025-03-18,20980178071,10000.00,42,656,INR,2632.04,6.40%,62.67,0.00
Inspira Tropical Garden Brand Keywords,2025-03-18,21015668604,8100.00,4,23,INR,263.37,17.39%,65.84,1.00
Shriram Hebbal - Brand Search,2025-03-18,21048683503,3000.00,15,52,INR,1043.09,28.85%,69.54,0.00
Valmark Cityville Generic Search - 20 May 24,2025-03-18,21307500650,9200.00,5,23,INR,241.15,21.74%,48.23,0.00
Shriram Hebbal Fractional Investment,2025-03-18,21312513597,10000.00,7,40,INR,503.01,17.50%,71.86,0.00
Greeenesto Primus - Brand Campaign - 07June 24,2025-03-18,21367850110,7000.00,16,91,INR,1238.50,17.58%,77.41,1.00
Valmark Cityville | Search | Brand | 01 Jan 25,2025-03-18,22082957992,5000.00,7,21,INR,1773.85,33.33%,253.41,0.00
Cityville - 24 Jan 25,2025-03-18,22153977522,10000.00,1,2,INR,79.30,50.00%,79.30,0.00
Cityville - Competitors 24 Jan 25,2025-03-18,22164812824,10000.00,2,11,INR,239.19,18.18%,119.60,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2025-03-19,19805351172,13000.00,21,165,INR,1216.00,12.73%,57.90,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2025-03-19,20039018782,6000.00,5,71,INR,550.04,7.04%,110.01,0.00
Shriram Hebbal Generic Search Campaign,2025-03-19,20980178071,10000.00,48,517,INR,2596.97,9.28%,54.10,1.00
Inspira Tropical Garden Brand Keywords,2025-03-19,21015668604,8100.00,2,27,INR,163.36,7.41%,81.68,0.00
Shriram Hebbal - Brand Search,2025-03-19,21048683503,3000.00,6,40,INR,381.91,15.00%,63.65,0.00
Valmark Cityville Generic Search - 20 May 24,2025-03-19,21307500650,9200.00,4,20,INR,199.06,20.00%,49.77,0.00
Shriram Hebbal Fractional Investment,2025-03-19,21312513597,10000.00,5,45,INR,438.32,11.11%,87.66,0.00
Greeenesto Primus - Brand Campaign - 07June 24,2025-03-19,21367850110,7000.00,12,88,INR,637.34,13.64%,53.11,0.00
Valmark Cityville | Search | Brand | 01 Jan 25,2025-03-19,22082957992,5000.00,3,26,INR,714.96,11.54%,238.32,0.00
Cityville - 24 Jan 25,2025-03-19,22153977522,10000.00,0,1,INR,0.00,0.00%,0,0.00
Cityville - Competitors 24 Jan 25,2025-03-19,22164812824,10000.00,0,20,INR,0.00,0.00%,0,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2025-03-20,19805351172,13000.00,16,138,INR,710.69,11.59%,44.42,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2025-03-20,20039018782,6000.00,7,58,INR,939.45,12.07%,134.21,2.00
Shriram Hebbal Generic Search Campaign,2025-03-20,20980178071,10000.00,52,485,INR,2690.16,10.72%,51.73,0.00
Inspira Tropical Garden Brand Keywords,2025-03-20,21015668604,8100.00,1,26,INR,49.37,3.85%,49.37,0.00
Shriram Hebbal - Brand Search,2025-03-20,21048683503,3000.00,24,54,INR,1542.48,44.44%,64.27,0.00
Valmark Cityville Generic Search - 20 May 24,2025-03-20,21307500650,9200.00,3,13,INR,87.99,23.08%,29.33,0.00
Shriram Hebbal Fractional Investment,2025-03-20,21312513597,10000.00,8,62,INR,464.24,12.90%,58.03,0.00
Greeenesto Primus - Brand Campaign - 07June 24,2025-03-20,21367850110,7000.00,23,96,INR,1353.51,23.96%,58.85,4.00
Valmark Cityville | Search | Brand | 01 Jan 25,2025-03-20,22082957992,5000.00,2,18,INR,435.78,11.11%,217.89,0.00
Cityville - 24 Jan 25,2025-03-20,22153977522,10000.00,0,1,INR,0.00,0.00%,0,0.00
Cityville - Competitors 24 Jan 25,2025-03-20,22164812824,10000.00,2,10,INR,98.31,20.00%,49.16,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2025-03-21,19805351172,13000.00,14,124,INR,885.41,11.29%,63.24,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2025-03-21,20039018782,6000.00,9,80,INR,940.20,11.25%,104.47,1.00
Shriram Hebbal Generic Search Campaign,2025-03-21,20980178071,10000.00,48,386,INR,2412.77,12.44%,50.27,1.00
Inspira Tropical Garden Brand Keywords,2025-03-21,21015668604,8100.00,1,13,INR,29.41,7.69%,29.41,0.00
Shriram Hebbal - Brand Search,2025-03-21,21048683503,3000.00,10,45,INR,503.68,22.22%,50.37,1.00
Valmark Cityville Generic Search - 20 May 24,2025-03-21,21307500650,9200.00,0,8,INR,0.00,0.00%,0,0.00
Shriram Hebbal Fractional Investment,2025-03-21,21312513597,10000.00,4,71,INR,148.18,5.63%,37.05,1.00
Greeenesto Primus - Brand Campaign - 07June 24,2025-03-21,21367850110,7000.00,20,65,INR,1171.77,30.77%,58.59,5.00
Valmark Cityville | Search | Brand | 01 Jan 25,2025-03-21,22082957992,5000.00,5,19,INR,1357.44,26.32%,271.49,0.00
Cityville - 24 Jan 25,2025-03-21,22153977522,10000.00,0,1,INR,0.00,0.00%,0,0.00
Cityville - Competitors 24 Jan 25,2025-03-21,22164812824,10000.00,2,14,INR,85.64,14.29%,42.82,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2025-03-22,19805351172,13000.00,21,151,INR,1132.55,13.91%,53.93,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2025-03-22,20039018782,6000.00,19,120,INR,2406.83,15.83%,126.68,1.00
Shriram Hebbal Generic Search Campaign,2025-03-22,20980178071,10000.00,25,419,INR,1049.18,5.97%,41.97,2.00
Inspira Tropical Garden Brand Keywords,2025-03-22,21015668604,8100.00,6,41,INR,426.95,14.63%,71.16,1.00
Shriram Hebbal - Brand Search,2025-03-22,21048683503,3000.00,11,36,INR,545.14,30.56%,49.56,0.00
Valmark Cityville Generic Search - 20 May 24,2025-03-22,21307500650,9200.00,3,15,INR,66.25,20.00%,22.08,0.00
Shriram Hebbal Fractional Investment,2025-03-22,21312513597,10000.00,6,34,INR,428.78,17.65%,71.46,0.00
Greeenesto Primus - Brand Campaign - 07June 24,2025-03-22,21367850110,7000.00,15,108,INR,668.36,13.89%,44.56,0.00
Valmark Cityville | Search | Brand | 01 Jan 25,2025-03-22,22082957992,5000.00,7,32,INR,858.79,21.88%,122.68,0.00
Cityville - 24 Jan 25,2025-03-22,22153977522,10000.00,0,2,INR,0.00,0.00%,0,0.00
Cityville - Competitors 24 Jan 25,2025-03-22,22164812824,10000.00,0,9,INR,0.00,0.00%,0,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2025-03-23,19805351172,13000.00,17,203,INR,962.40,8.37%,56.61,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2025-03-23,20039018782,6000.00,15,92,INR,1391.43,16.30%,92.76,0.00
Shriram Hebbal Generic Search Campaign,2025-03-23,20980178071,10000.00,51,493,INR,2254.27,10.34%,44.20,6.00
Inspira Tropical Garden Brand Keywords,2025-03-23,21015668604,8100.00,7,25,INR,325.12,28.00%,46.45,1.00
Shriram Hebbal - Brand Search,2025-03-23,21048683503,3000.00,11,24,INR,691.17,45.83%,62.83,3.00
Valmark Cityville Generic Search - 20 May 24,2025-03-23,21307500650,9200.00,0,11,INR,0.00,0.00%,0,0.00
Shriram Hebbal Fractional Investment,2025-03-23,21312513597,10000.00,5,38,INR,312.10,13.16%,62.42,0.00
Greeenesto Primus - Brand Campaign - 07June 24,2025-03-23,21367850110,7000.00,13,93,INR,540.10,13.98%,41.55,0.00
Valmark Cityville | Search | Brand | 01 Jan 25,2025-03-23,22082957992,5000.00,2,13,INR,582.58,15.38%,291.29,0.00
Cityville - Competitors 24 Jan 25,2025-03-23,22164812824,10000.00,0,8,INR,0.00,0.00%,0,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2025-03-24,19805351172,13000.00,14,134,INR,889.45,10.45%,63.53,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2025-03-24,20039018782,6000.00,9,83,INR,726.25,10.84%,80.69,1.00
Shriram Hebbal Generic Search Campaign,2025-03-24,20980178071,10000.00,49,418,INR,2335.57,11.72%,47.66,1.00
Inspira Tropical Garden Brand Keywords,2025-03-24,21015668604,8100.00,2,19,INR,30.02,10.53%,15.01,0.00
Shriram Hebbal - Brand Search,2025-03-24,21048683503,3000.00,19,50,INR,931.05,38.00%,49.00,0.00
Valmark Cityville Generic Search - 20 May 24,2025-03-24,21307500650,9200.00,3,12,INR,131.90,25.00%,43.97,0.00
Shriram Hebbal Fractional Investment,2025-03-24,21312513597,10000.00,11,55,INR,646.94,20.00%,58.81,1.00
Greeenesto Primus - Brand Campaign - 07June 24,2025-03-24,21367850110,7000.00,16,98,INR,990.03,16.33%,61.88,3.00
Valmark Cityville | Search | Brand | 01 Jan 25,2025-03-24,22082957992,5000.00,1,12,INR,161.38,8.33%,161.38,0.00
Cityville - Competitors 24 Jan 25,2025-03-24,22164812824,10000.00,0,9,INR,0.00,0.00%,0,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2025-03-25,19805351172,13000.00,13,105,INR,736.99,12.38%,56.69,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2025-03-25,20039018782,6000.00,12,59,INR,2333.29,20.34%,194.44,2.00
Shriram Hebbal Generic Search Campaign,2025-03-25,20980178071,10000.00,37,563,INR,1695.64,6.57%,45.83,2.50
Inspira Tropical Garden Brand Keywords,2025-03-25,21015668604,8100.00,1,26,INR,32.43,3.85%,32.43,0.00
Shriram Hebbal - Brand Search,2025-03-25,21048683503,3000.00,7,31,INR,525.32,22.58%,75.05,3.00
Valmark Cityville Generic Search - 20 May 24,2025-03-25,21307500650,9200.00,2,18,INR,24.91,11.11%,12.46,0.00
Shriram Hebbal Fractional Investment,2025-03-25,21312513597,10000.00,2,35,INR,106.91,5.71%,53.46,0.00
Greeenesto Primus - Brand Campaign - 07June 24,2025-03-25,21367850110,7000.00,14,92,INR,781.26,15.22%,55.80,0.00
Valmark Cityville | Search | Brand | 01 Jan 25,2025-03-25,22082957992,5000.00,4,25,INR,1312.38,16.00%,328.10,0.00
Cityville - 24 Jan 25,2025-03-25,22153977522,10000.00,0,1,INR,0.00,0.00%,0,0.00
Cityville - Competitors 24 Jan 25,2025-03-25,22164812824,10000.00,0,6,INR,0.00,0.00%,0,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2025-03-26,19805351172,13000.00,19,123,INR,1014.48,15.45%,53.39,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2025-03-26,20039018782,6000.00,6,63,INR,706.95,9.52%,117.83,0.00
Shriram Hebbal Generic Search Campaign,2025-03-26,20980178071,10000.00,44,534,INR,2822.67,8.24%,64.15,6.50
Inspira Tropical Garden Brand Keywords,2025-03-26,21015668604,8100.00,4,24,INR,103.83,16.67%,25.96,1.00
Shriram Hebbal - Brand Search,2025-03-26,21048683503,3000.00,11,40,INR,846.90,27.50%,76.99,2.90
Valmark Cityville Generic Search - 20 May 24,2025-03-26,21307500650,9200.00,1,17,INR,32.60,5.88%,32.60,0.00
Shriram Hebbal Fractional Investment,2025-03-26,21312513597,10000.00,5,46,INR,290.32,10.87%,58.06,1.00
Greeenesto Primus - Brand Campaign - 07June 24,2025-03-26,21367850110,7000.00,20,118,INR,1061.05,16.95%,53.05,5.00
Valmark Cityville | Search | Brand | 01 Jan 25,2025-03-26,22082957992,5000.00,2,10,INR,632.17,20.00%,316.09,0.00
Cityville - 24 Jan 25,2025-03-26,22153977522,10000.00,0,1,INR,0.00,0.00%,0,0.00
Cityville - Competitors 24 Jan 25,2025-03-26,22164812824,10000.00,1,11,INR,52.05,9.09%,52.05,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2025-03-27,19805351172,13000.00,18,124,INR,930.86,14.52%,51.71,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2025-03-27,20039018782,6000.00,6,72,INR,918.42,8.33%,153.07,2.00
Shriram Hebbal Generic Search Campaign,2025-03-27,20980178071,10000.00,58,444,INR,2943.57,13.06%,50.75,6.33
Inspira Tropical Garden Brand Keywords,2025-03-27,21015668604,8100.00,2,9,INR,70.06,22.22%,35.03,0.00
Shriram Hebbal - Brand Search,2025-03-27,21048683503,3000.00,10,32,INR,557.63,31.25%,55.76,1.67
Valmark Cityville Generic Search - 20 May 24,2025-03-27,21307500650,9200.00,4,10,INR,35.36,40.00%,8.84,0.00
Shriram Hebbal Fractional Investment,2025-03-27,21312513597,10000.00,4,34,INR,137.84,11.76%,34.46,0.00
Greeenesto Primus - Brand Campaign - 07June 24,2025-03-27,21367850110,7000.00,19,108,INR,1320.01,17.59%,69.47,2.00
Valmark Cityville | Search | Brand | 01 Jan 25,2025-03-27,22082957992,5000.00,5,10,INR,1485.39,50.00%,297.08,0.00
Cityville - Competitors 24 Jan 25,2025-03-27,22164812824,10000.00,1,6,INR,80.98,16.67%,80.98,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2025-03-28,19805351172,13000.00,18,107,INR,950.89,16.82%,52.83,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2025-03-28,20039018782,6000.00,8,91,INR,705.83,8.79%,88.23,0.00
Shriram Hebbal Generic Search Campaign,2025-03-28,20980178071,10000.00,37,452,INR,1811.73,8.19%,48.97,4.91
Inspira Tropical Garden Brand Keywords,2025-03-28,21015668604,8100.00,2,29,INR,35.78,6.90%,17.89,0.00
Shriram Hebbal - Brand Search,2025-03-28,21048683503,3000.00,13,43,INR,1131.43,30.23%,87.03,1.00
Valmark Cityville Generic Search - 20 May 24,2025-03-28,21307500650,9200.00,4,8,INR,88.13,50.00%,22.03,0.00
Shriram Hebbal Fractional Investment,2025-03-28,21312513597,10000.00,3,24,INR,132.74,12.50%,44.25,0.00
Greeenesto Primus - Brand Campaign - 07June 24,2025-03-28,21367850110,7000.00,18,119,INR,1159.36,15.13%,64.41,0.00
Valmark Cityville | Search | Brand | 01 Jan 25,2025-03-28,22082957992,5000.00,0,8,INR,0.00,0.00%,0,0.00
Cityville - Competitors 24 Jan 25,2025-03-28,22164812824,10000.00,0,10,INR,0.00,0.00%,0,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2025-03-29,19805351172,13000.00,12,119,INR,975.67,10.08%,81.31,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2025-03-29,20039018782,6000.00,9,82,INR,1083.80,10.98%,120.42,1.00
Shriram Hebbal Generic Search Campaign,2025-03-29,20980178071,10000.00,45,508,INR,2437.97,8.86%,54.18,5.00
Inspira Tropical Garden Brand Keywords,2025-03-29,21015668604,8100.00,0,17,INR,0.00,0.00%,0,0.00
Shriram Hebbal - Brand Search,2025-03-29,21048683503,3000.00,9,39,INR,644.03,23.08%,71.56,1.00
Valmark Cityville Generic Search - 20 May 24,2025-03-29,21307500650,9200.00,2,14,INR,26.15,14.29%,13.08,0.00
Shriram Hebbal Fractional Investment,2025-03-29,21312513597,10000.00,4,26,INR,262.32,15.38%,65.58,0.00
Greeenesto Primus - Brand Campaign - 07June 24,2025-03-29,21367850110,7000.00,25,128,INR,2214.38,19.53%,88.58,1.00
Valmark Cityville | Search | Brand | 01 Jan 25,2025-03-29,22082957992,5000.00,1,20,INR,85.22,5.00%,85.22,0.00
Cityville - Competitors 24 Jan 25,2025-03-29,22164812824,10000.00,0,2,INR,0.00,0.00%,0,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2025-03-30,19805351172,13000.00,11,100,INR,401.23,11.00%,36.48,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2025-03-30,20039018782,6000.00,6,62,INR,631.51,9.68%,105.25,0.00
Shriram Hebbal Generic Search Campaign,2025-03-30,20980178071,10000.00,58,608,INR,3536.40,9.54%,60.97,3.00
Inspira Tropical Garden Brand Keywords,2025-03-30,21015668604,8100.00,3,19,INR,97.81,15.79%,32.60,0.00
Shriram Hebbal - Brand Search,2025-03-30,21048683503,3000.00,12,34,INR,1340.85,35.29%,111.74,1.00
Valmark Cityville Generic Search - 20 May 24,2025-03-30,21307500650,9200.00,0,18,INR,0.00,0.00%,0,0.00
Shriram Hebbal Fractional Investment,2025-03-30,21312513597,10000.00,5,31,INR,238.99,16.13%,47.80,0.00
Greeenesto Primus - Brand Campaign - 07June 24,2025-03-30,21367850110,7000.00,17,99,INR,1378.03,17.17%,81.06,0.00
Valmark Cityville | Search | Brand | 01 Jan 25,2025-03-30,22082957992,5000.00,1,10,INR,145.17,10.00%,145.17,0.00
Cityville - Competitors 24 Jan 25,2025-03-30,22164812824,10000.00,1,10,INR,71.98,10.00%,71.98,0.00
Shriram Hebbal - Office Space Leasing - 30 March 25,2025-03-30,22391072129,4800.00,0,0,INR,0.00,0,0,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2025-03-31,19805351172,13000.00,22,115,INR,958.21,19.13%,43.56,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2025-03-31,20039018782,6000.00,11,75,INR,1100.00,14.67%,100.00,0.00
Inspira Tropical Garden Brand Keywords,2025-03-31,21015668604,8100.00,4,26,INR,220.15,15.38%,55.04,0.00
Shriram Hebbal - Brand Search,2025-03-31,21048683503,3000.00,5,35,INR,465.49,14.29%,93.10,0.00
Valmark Cityville Generic Search - 20 May 24,2025-03-31,21307500650,9200.00,0,10,INR,0.00,0.00%,0,0.00
Greeenesto Primus - Brand Campaign - 07June 24,2025-03-31,21367850110,7000.00,18,103,INR,1195.75,17.48%,66.43,1.00
Valmark Cityville | Search | Brand | 01 Jan 25,2025-03-31,22082957992,5000.00,3,24,INR,675.27,12.50%,225.09,0.00
Cityville - 24 Jan 25,2025-03-31,22153977522,10000.00,0,1,INR,0.00,0.00%,0,0.00
Cityville - Competitors 24 Jan 25,2025-03-31,22164812824,10000.00,4,19,INR,323.19,21.05%,80.80,0.00
Shriram Hebbal - Office Space Leasing - 30 March 25,2025-03-31,22391072129,4800.00,0,13,INR,0.00,0.00%,0,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2025-04-01,19805351172,13000.00,0,8,INR,0.00,0.00%,0,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2025-04-01,20039018782,6000.00,0,6,INR,0.00,0.00%,0,0.00
Inspira Tropical Garden Brand Keywords,2025-04-01,21015668604,8100.00,3,11,INR,83.84,27.27%,27.95,0.00
Shriram Hebbal - Brand Search,2025-04-01,21048683503,3000.00,0,0,INR,0.00,0,0,0.00
Valmark Cityville Generic Search - 20 May 24,2025-04-01,21307500650,9200.00,0,0,INR,0.00,0,0,0.00
Greeenesto Primus - Brand Campaign - 07June 24,2025-04-01,21367850110,7000.00,5,14,INR,400.38,35.71%,80.08,1.00
Valmark Cityville | Search | Brand | 01 Jan 25,2025-04-01,22082957992,5000.00,0,0,INR,0.00,0,0,0.00
Cityville - Competitors 24 Jan 25,2025-04-01,22164812824,10000.00,1,2,INR,33.83,50.00%,33.83,0.00
Shriram Hebbal - Office Space Leasing - 30 March 25,2025-04-01,22391072129,4800.00,0,18,INR,0.00,0.00%,0,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2025-04-02,19805351172,13000.00,18,80,INR,925.63,22.50%,51.42,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2025-04-02,20039018782,6000.00,8,71,INR,1548.58,11.27%,193.57,2.00
Inspira Tropical Garden Brand Keywords,2025-04-02,21015668604,8100.00,5,24,INR,249.16,20.83%,49.83,1.00
Shriram Hebbal - Brand Search,2025-04-02,21048683503,3000.00,18,48,INR,1448.99,37.50%,80.50,1.00
Valmark Cityville Generic Search - 20 May 24,2025-04-02,21307500650,9200.00,0,5,INR,0.00,0.00%,0,0.00
Greeenesto Primus - Brand Campaign - 07June 24,2025-04-02,21367850110,7000.00,19,117,INR,1373.76,16.24%,72.30,2.00
Valmark Cityville | Search | Brand | 01 Jan 25,2025-04-02,22082957992,5000.00,4,42,INR,368.81,9.52%,92.20,0.00
Cityville - Competitors 24 Jan 25,2025-04-02,22164812824,10000.00,1,6,INR,43.35,16.67%,43.35,0.00
Shriram Hebbal - Office Space Leasing - 30 March 25,2025-04-02,22391072129,4800.00,3,36,INR,105.11,8.33%,35.04,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2025-04-03,19805351172,13000.00,10,76,INR,510.35,13.16%,51.03,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2025-04-03,20039018782,6000.00,8,51,INR,1045.26,15.69%,130.66,0.00
Inspira Tropical Garden Brand Keywords,2025-04-03,21015668604,8100.00,4,19,INR,241.16,21.05%,60.29,0.00
Shriram Hebbal - Brand Search,2025-04-03,21048683503,3000.00,8,31,INR,461.43,25.81%,57.68,0.00
Valmark Cityville Generic Search - 20 May 24,2025-04-03,21307500650,9200.00,6,17,INR,158.66,35.29%,26.44,0.00
Greeenesto Primus - Brand Campaign - 07June 24,2025-04-03,21367850110,7000.00,17,92,INR,1437.13,18.48%,84.54,0.00
Valmark Cityville | Search | Brand | 01 Jan 25,2025-04-03,22082957992,5000.00,4,22,INR,588.73,18.18%,147.18,0.00
Cityville - Competitors 24 Jan 25,2025-04-03,22164812824,10000.00,0,3,INR,0.00,0.00%,0,0.00
Shriram Hebbal - Office Space Leasing - 30 March 25,2025-04-03,22391072129,4800.00,2,48,INR,83.92,4.17%,41.96,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2025-04-04,19805351172,13000.00,11,98,INR,452.93,11.22%,41.18,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2025-04-04,20039018782,6000.00,14,66,INR,3183.10,21.21%,227.36,0.00
Inspira Tropical Garden Brand Keywords,2025-04-04,21015668604,8100.00,2,13,INR,103.38,15.38%,51.69,0.00
Shriram Hebbal - Brand Search,2025-04-04,21048683503,3000.00,9,38,INR,824.89,23.68%,91.65,0.00
Valmark Cityville Generic Search - 20 May 24,2025-04-04,21307500650,9200.00,0,4,INR,0.00,0.00%,0,0.00
Greeenesto Primus - Brand Campaign - 07June 24,2025-04-04,21367850110,7000.00,24,116,INR,1846.35,20.69%,76.93,3.00
Valmark Cityville | Search | Brand | 01 Jan 25,2025-04-04,22082957992,5000.00,2,20,INR,418.85,10.00%,209.43,0.00
Cityville - Competitors 24 Jan 25,2025-04-04,22164812824,10000.00,1,12,INR,109.14,8.33%,109.14,0.00
Shriram Hebbal - Office Space Leasing - 30 March 25,2025-04-04,22391072129,4800.00,1,33,INR,53.56,3.03%,53.56,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2025-04-05,19805351172,13000.00,18,99,INR,849.34,18.18%,47.19,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2025-04-05,20039018782,6000.00,10,64,INR,1190.62,15.63%,119.06,0.00
Inspira Tropical Garden Brand Keywords,2025-04-05,21015668604,8100.00,5,23,INR,228.42,21.74%,45.68,3.00
Shriram Hebbal - Brand Search,2025-04-05,21048683503,3000.00,4,29,INR,419.21,13.79%,104.80,0.00
Valmark Cityville Generic Search - 20 May 24,2025-04-05,21307500650,9200.00,1,13,INR,44.30,7.69%,44.30,0.00
Greeenesto Primus - Brand Campaign - 07June 24,2025-04-05,21367850110,7000.00,34,121,INR,2094.63,28.10%,61.61,1.00
Valmark Cityville | Search | Brand | 01 Jan 25,2025-04-05,22082957992,5000.00,4,31,INR,878.28,12.90%,219.57,0.00
Cityville - Competitors 24 Jan 25,2025-04-05,22164812824,10000.00,0,6,INR,0.00,0.00%,0,0.00
Shriram Hebbal - Office Space Leasing - 30 March 25,2025-04-05,22391072129,4800.00,0,23,INR,0.00,0.00%,0,0.00
Valmark Cityville | Search | Brand | 14 Mar 2023,2025-04-06,19805351172,13000.00,22,150,INR,1123.83,14.67%,51.08,0.00
Living Walls Olde Town | Search Brand | 26 Apr2023,2025-04-06,20039018782,6000.00,21,76,INR,3593.52,27.63%,171.12,0.00
Inspira Tropical Garden Brand Keywords,2025-04-06,21015668604,8100.00,6,28,INR,288.40,21.43%,48.07,0.00
Shriram Hebbal - Brand Search,2025-04-06,21048683503,3000.00,7,25,INR,642.46,28.00%,91.78,1.00
